company,page_title,no_views
Google,Google_Chart_API,1
Google,Google_Charts,2
Google,Google_Chat,6
Google,Google_Checkout,1
Google,Google_China,4
Google,Google_Chrome,14697
Google,Google_Chrome_App,3
Google,Google_Classroom,35
Google,Google_Cloud_(disambiguation),1
Google,Google_Cloud_Platform,24
Google,Google_Cloud_Storage,1
Google,Google_Code-in,1
Google,Google_Colab,3
Google,Google_Contact_Lens,1
Google,Google_Contacts,4
Google,Google_Container_Engine,2
Google,Google_Dataset_Search,1
Google,Google_Daydream,1
Google,Google_DeepMind,17
Google,Google_Desktop,3
Google,Google_Dictionary,1
Google,Google_Digital_Garage,2
Google,Google_Docs,21
Google,"Google_Docs,_Sheets,_and_Slides",1
Google,Google_Domains,1
Google,Google_Doodle,5
Google,Google_Drawings,1
Google,Google_Drive,65
Google,Google_Duo,1
Google,Google_Earth,83
Google,Google_Earth_Pro,2
Google,Google_F1,1
Google,Google_Feud,1
Google,Google_Fi_Wireless,1
Google,Google_Fiber,4
Google,Google_File_System,1
Google,Google_Finance,1
Google,Google_Flights,12
Google,Google_Fonts,3
Google,Google_Forms,27
Google,Google_Fuchsia,1
Google,Google_Gemini,20
Google,Google_Gemini_image_generation_controversy,1
Google,Google_Glass,5
Google,Google_Glasses,1
Google,Google_Groups,3
Google,Google_Guava,1
Google,Google_Home,2
Google,Google_Home_(smart_speaker),1
Google,Google_I/O,2
Google,Google_Images,2
Google,Google_Keep,4
Google,Google_Knowledge_Graph,1
Google,"Google_LLC_v._Oracle_America,_Inc.",4
Google,Google_Labs,1
Google,Google_Lens,9
Google,Google_Lively,1
Google,Google_Maps,75
Google,Google_Maps_pin,1
Google,Google_Meet,12
Google,Google_Messages,3
Google,Google_Mobile_Services,1
Google,Google_Native_Client,4
Google,Google_Nest,6
Google,Google_Nest_(smart_speakers),13
Google,Google_News,3
Google,Google_News_Archive,1
Google,Google_Nexus,2
Google,Google_Notebook,1
Google,Google_Now,4
Google,Google_Ocean,1
Google,Google_One,2
Google,Google_Opinion_Rewards,1
Google,Google_Optimize,1
Google,Google_Outreach,2
Google,Google_PageSpeed_Tools,1
Google,Google_Panda,5
Google,Google_Patents,2
Google,Google_Pay_(2018–2022),1
Google,Google_Pay_(payment_method),4
Google,Google_Penguin,3
Google,Google_Photos,7
Google,Google_Pinyin,1
Google,Google_Pixel,21
Google,Google_Pixel_3,1
Google,Google_Play,24
Google,Google_Play_Books,2
Google,Google_Play_Games,3
Google,Google_Play_Music,1
Google,Google_Play_Services,2
Google,Google_Play_Store,2
Google,Google_PowerMeter,2
Google,Google_Programmable_Search_Engine,1
Google,Google_Public_DNS,2
Google,Google_Reader,1
Google,Google_Safe_Browsing,1
Google,Google_Scholar,29
Google,Google_Science_Fair,1
Google,Google_Search,42
Google,Google_Search_Appliance,3
Google,Google_Search_Console,3
Google,Google_Sheets,29
Google,Google_Shopping,1
Google,Google_Sidewiki,1
Google,Google_Sites,23
Google,Google_Slides,51
Google,Google_Spaces,1
Google,Google_Spain_v_AEPD_and_Mario_Costeja_González,2
Google,Google_Stadia,6
Google,Google_Street_View,7
Google,Google_Street_View_coverage,2
Google,Google_Street_View_in_Asia,1
Google,Google_Street_View_in_Europe,2
Google,Google_Street_View_in_Israel,1
Google,Google_Street_View_in_Oceania,1
Google,Google_Street_View_in_South_America,1
Google,Google_Swiffy,1
Google,Google_TV_(operating_system),1
Google,Google_Takeout,2
Google,Google_Talk,1
Google,Google_Tasks,1
Google,Google_Tech_Mela,1
Google,Google_Tensor,1
Google,Google_Test,3
Google,Google_Translate,53
Google,Google_Travel,1
Google,Google_Trends,6
Google,Google_Veo,3
Google,Google_Video,3
Google,Google_Videos,1
Google,Google_Voice,3
Google,Google_Wallet,1
Google,Google_Wave,4
Google,Google_Web_Designer,1
Google,Google_Web_Server,1
Google,Google_Web_Toolkit,2
Google,Google_Workspace,8
Google,Google_X,2
Google,Google_barges,2
Google,Google_contact_lens,3
Google,Google_data_centers,14
Google,Google_dorking,1
Google,Google_driverless_car,2
Google,Google_earth,2
Google,Google_effect,1
Google,Google_for_Startups,1
Google,Google_hacking,11
Google,Google_litigation,6
Google,Google_logo,97
Google,Google_matrix,1
Google,Google_search,5
Google,Google_services_outages,9
Google,Google_translate,1
Google,Google_v._Oracle,1
Microsoft,Microsoft,157
Microsoft,Microsoft.com,1
Microsoft,Microsoft_365,42
Microsoft,Microsoft_365_Copilot,9
Microsoft,Microsoft_3D_Viewer,1
Microsoft,Microsoft_AI_for_Earth,1
Microsoft,Microsoft_Access,28
Microsoft,Microsoft_Active_Accessibility,1
Microsoft,Microsoft_Agent,2
Microsoft,Microsoft_App-V,1
Microsoft,Microsoft_Azure,24
Microsoft,Microsoft_BASIC,3
Microsoft,Microsoft_BackOffice_Server,2
Microsoft,Microsoft_Binary_Format,3
Microsoft,Microsoft_Bing,192
Microsoft,Microsoft_BizTalk_Server,1
Microsoft,Microsoft_Blend,1
Microsoft,Microsoft_Bob,4
Microsoft,Microsoft_Campus,1
Microsoft,Microsoft_Cinemania,1
Microsoft,Microsoft_Cognitive_Toolkit,1
Microsoft,Microsoft_Compiled_HTML_Help,4
Microsoft,Microsoft_Configuration_Manager,6
Microsoft,Microsoft_Copilot,112
Microsoft,Microsoft_Cordless_Phone_System,1
Microsoft,Microsoft_Corp._v._Commission,1
Microsoft,"Microsoft_Corp._v._Lindows.com,_Inc.",1
Microsoft,Microsoft_Corp._v._Shah,1
Microsoft,Microsoft_Corporation,3
Microsoft,Microsoft_DVLUP,1
Microsoft,Microsoft_Defender_Antivirus,3
Microsoft,Microsoft_Development_Center_Norway,1
Microsoft,Microsoft_Diagnostics,1
Microsoft,Microsoft_Digital_Crimes_Unit,1
Microsoft,Microsoft_Distributed_Transaction_Coordinator,2
Microsoft,Microsoft_Dynamics,2
Microsoft,Microsoft_Dynamics_365,14
Microsoft,Microsoft_Dynamics_NAV,1
Microsoft,Microsoft_Edge,23
Microsoft,Microsoft_Edge_(series_of_web_browsers),1
Microsoft,Microsoft_Edge_Legacy,3
Microsoft,Microsoft_Encarta,1
Microsoft,Microsoft_Enterprise_Agreement,1
Microsoft,Microsoft_Entertainment_Pack,3
Microsoft,Microsoft_Entourage,3
Microsoft,Microsoft_Entra_ID,5
Microsoft,Microsoft_Excel,136
Microsoft,Microsoft_Excel_95,1
Microsoft,Microsoft_Excel_Viewer,1
Microsoft,Microsoft_Exchange_Server,7
Microsoft,Microsoft_FUSE_Labs,1
Microsoft,Microsoft_Flight,3
Microsoft,Microsoft_Flight_Simulator,10
Microsoft,Microsoft_Flight_Simulator_(1982_video_game),3
Microsoft,Microsoft_Flight_Simulator_(1986_video_game),1
Microsoft,Microsoft_Flight_Simulator_(2020_video_game),6
Microsoft,Microsoft_Flight_Simulator_2.0,2
